Head Title
"Curry Up!","Indisches Restaurant","2.5","9","Gußhausstr. 19","1040","Wien","Wieden","01 890224816","curryup.at","€ 11-20"
"Pizzeria Primavera","Pizza","3.0","4","Steinbauergasse 22","1120","Wien","Meidling","01 8152210","","€ 11-20"
"Tauber","CaféCoffee Shop","4.0","5","Donaustadtstr. 1","1220","Wien","Donaustadt","01 2023300","tauber.at","€ 11-20"
"Pizzakeller","PizzaItalienisches Restaurant","3.0","12","Bellegardegasse 2","1220","Wien","Donaustadt","01 2692120","","€ 11-20"
"Pizzeria Bella Vita","Pizza","3.5","2","Untere Augartenstr. 16","1020","Wien","Leopoldstadt","01 2765563","","€ 11-20"
"Servus am Platzl","Restaurant","3.5","2","Uhlplatz 5","1080","Wien","Josefstadt","01 4052677","servusamplatzl.at","€ 11-20"
"","Chinesisches Restaurant","3.5","4","Landgutgasse 35","1100","Wien","Favoriten","01 6036072","","€ 11-20"
"calllas","SpezialitätenInternationales Restaurant","4.0","1","Schubertring 6","1010","Wien","Innere Stadt","01 5129926","calllas.at","Über € 41"
"One Sinn","Asiatisches Restaurant","4.0","1","Kinderspitalgasse 2","1090","Wien","Alsergrund","01 4065222","","Unter € 10"
"eWok","Asiatisches RestaurantSushi","3.5","6","Donau-City-Straße 4","1220","Wien","Donaustadt","01 8901337","ewok.at","€ 11-20"
"Pizzeria Cara Mia","PizzaItalienisches Restaurant","4.5","7","Hardeggasse 69-71","1220","Wien","Donaustadt","01 2837383","pizzeria-caramia.at","€ 11-20"
"","BurgerVegetarisches RestaurantVeganes Restaurant","2.5","6","Margarethenstr. 76","1050","Wien","Margareten","01 5122509","veggie-burger.at","€ 11-20"
"","Restaurant","3.0","2","Franz Josef Kai  49","1010","Wien","Innere Stadt","01 5330332","","€ 11-20"
"","Restaurant","3.5","3","Favoritenstr. 88-90","1100","Wien","Favoriten","01 6006965","","€ 11-20"
"Der Biogreissler","BuffetBioladen","4.0","1","Währinger Str. 5","1090","Wien","Alsergrund","0676 7850424","derbiogreissler.at","Unter € 10"
"","Asiatisches RestaurantChinesisches RestaurantJapanisches Restaurant","4.0","1","Taborstr. 46a","1020","Wien","Leopoldstadt","02165 215","wokhaus.at","€ 11-20"
"","Asiatisches Restaurant","2.0","6","Landstraßer Hauptstr. 2a","1030","Wien","Landstraße","01 7131560","marcopoloasian.at","€ 11-20"
"Nayeb","Nahöstliches Restaurant","4.0","5","Gumpendorferstraße  22","1060","Wien","Mariahilf","","","Unter € 10"
"La Bella Vita","Italienisches Restaurant","4.0","1","Rainergasse 12","1040","Wien","Wieden","01 9672786","labellavita.wien",""
"","Japanisches Restaurant","4.0","5","Einsiedeleigasse 7","1130","Wien","Hietzing","01 8794568","restaurant-nara.at","€ 11-20"
"Leberkas-Pepi","Österreichisches Restaurant","4.5","6","Operngasse 12","1010","Wien","Innere Stadt","0664 2658865","leberkaspepi.at","Unter € 10"
"Passion","CocktailbarItalienisches Restaurant","2.5","8","Handelskai  94-96","1200","Wien","Brigittenau","","","€ 11-20"
"Josef Schrott","Bäckereien & Konditoreien","4.5","5","Mariahilfer Str. 159","1150","Wien","Rudolfsheim-Fünfhaus","01 8934249-0","baeckerei-schrott.at","Moderat"
"Pizza Plus","Italienisches Restaurant","4.5","6","Kaufpark Alt ErlaaAnton Baumgartner Str. 44","1230","Wien","Liesing","01 6679229","pizzaplus.at","€ 11-20"
"di piu","Italienisches Restaurant","5.0","1","Olympiaplatz 2/Top 2. 1e","1020","Wien","Leopoldstadt","01 2764151","","€ 11-20"
"","Asiatisches Restaurant","2.5","3","Spitalgasse 1a","1090","Wien","Alsergrund","","","Unter € 10"
"","Chinesisches Restaurant","4.0","1","Praterstr. 22","1020","Wien","Leopoldstadt","01 2147382","","€ 11-20"
"Pizza Mann","Italienisches Restaurant","3.5","2","Nussdorferstr. 40","1090","Wien","Alsergrund","0501 01010","pizzamann.at",""
"Pizzeria Ciao","Pizza","4.0","1","Barmherzigengasse 9","1030","Wien","Landstraße","01 7135550","","€ 11-20"
"","PizzaItalienisches RestaurantÖsterreichisches Restaurant","3.5","3","Stolberggasse 10","1050","Wien","Margareten","01 5454949","schnipi.at","Unter € 10"
"Pizzeria Fantastica","PizzaItalienisches Restaurant","3.5","10","Wagramer Str. 154","1220","Wien","Donaustadt","01 2037539","fantastica.at","€ 11-20"
"Il Capitano","PizzaItalienisches Restaurant","4.5","3","Streffleurgasse 13","1200","Wien","Brigittenau","01 3309427","","€ 11-20"
"Pizzeria Marina 2","PizzaLieferservice","4.5","2","Hetzendorferstr. 149","1120","Wien","Meidling","01 8020570","","Unter € 10"
"","PizzaLieferserviceItalienisches Restaurant","4.0","2","Ameisgasse 7","1140","Wien","Penzing","01 8946272","","Unter € 10"
"Ecke","SushiDim Sum","3.0","5","Flurschützstr.  21","1120","Wien","Meidling","01 8137594","restaurant-ecke.at","€ 11-20"
"Schnitzelhaus","Essen & TrinkenFast Food","3.5","2","Thaliastrasse 133","1160","Wien","Ottakring","01 4955284","","€ 11-20"
"McDonald’s","Fast FoodBurger","2.5","3","Julius-Tandler-Platz 3","1090","Wien","Alsergrund","01 3157216","mcdonalds.at","€ 11-20"
"Mantici","Türkisches Restaurant","5.0","2","Gottschalkgasse 2/5B","1110","Wien","Simmering","0660 7388356","","€ 11-20"
"","Chinesisches Restaurant","4.0","1","Morizgasse 13","1060","Wien","Mariahilf","01 5962046","","Unter € 10"
